update,global_step,episodes,mean_reward_50ep,policy_loss,value_loss,entropy,sps,walltime_s
1,128,0,0.0,-0.102344,0.017638,17.039484,20.3,6.3
2,256,1,2.0,-0.087136,0.03845,17.052636,14.0,18.3
3,384,1,2.0,-0.063003,0.02862,17.061638,16.1,23.9
4,512,2,2.0,-0.018733,0.024089,17.069765,16.5,31.0
5,640,3,2.0,-0.041584,0.031343,17.073465,17.7,36.2
6,768,3,2.0,-0.034139,0.022017,17.082085,18.3,42.0
7,896,4,2.0,-0.085872,0.042504,17.080035,18.6,48.1
8,1024,5,2.0,-0.060257,0.020916,17.07765,19.1,53.6
9,1152,5,2.0,-0.091731,0.011368,17.076648,19.4,59.3
10,1280,6,2.0,-0.066303,0.055727,17.073359,17.9,71.5
11,1408,7,2.0,-0.054834,0.071939,17.068769,18.3,77.0
12,1536,7,2.0,-0.050911,0.014688,17.062138,18.0,85.2
13,1664,8,2.0,-0.113655,0.047818,17.057956,18.4,90.3
14,1792,8,2.0,-0.060122,0.012156,17.066234,18.1,99.2
15,1920,9,2.0,-0.072807,0.033541,17.074765,17.6,109.3
16,2048,10,2.0,-0.055038,0.061078,17.075713,17.0,120.6
17,2176,10,2.0,-0.053554,0.009651,17.085563,16.4,132.4
18,2304,11,2.0,-0.045399,0.01013,17.094572,16.7,137.7
19,2432,12,2.0,-0.062715,0.012868,17.088736,17.0,142.8
20,2560,12,2.0,-0.073364,0.012534,17.093221,17.0,150.6
21,2688,13,2.0,-0.074992,0.053938,17.104064,17.2,156.5
22,2816,14,2.0,-0.039377,0.051617,17.114848,17.4,161.8
23,2944,14,2.0,-0.034283,0.011135,17.122103,16.9,174.3
24,3072,15,2.0,-0.095735,0.057096,17.133147,17.2,179.1
25,3200,16,2.0,-0.028943,0.027215,17.146697,17.3,185.0
26,3328,16,2.0,-0.074171,0.010279,17.138468,17.6,188.9
27,3456,17,2.0,-0.01432,0.024144,17.139482,17.9,193.5
28,3584,17,2.0,-0.040648,0.014857,17.147914,17.6,203.9
29,3712,18,2.0,-0.047623,0.015034,17.164853,16.6,223.5
30,3840,19,2.0,-0.034385,0.028445,17.178441,16.5,232.8
31,3968,19,2.0,-0.005209,0.009164,17.181344,16.4,241.3
32,4096,20,2.0,-0.035751,0.041669,17.208292,16.3,250.7
33,4224,21,2.0,-0.019789,0.033017,17.225528,16.3,259.0
34,4352,21,2.0,-0.027028,0.013808,17.239822,16.4,265.2
35,4480,22,2.0,-0.037575,0.018944,17.239524,15.9,281.7
36,4608,23,2.0,-0.043668,0.018311,17.241421,15.9,290.5
37,4736,23,2.0,-0.077654,0.009054,17.231919,16.0,296.2
38,4864,24,2.0,-0.044757,0.017884,17.244765,16.1,301.3
39,4992,24,2.0,-0.022845,0.006009,17.250974,16.2,308.1
40,5120,25,2.0,-0.091403,0.037753,17.255703,16.3,314.4
41,5248,26,2.0,-0.03254,0.032684,17.260016,16.4,319.5
42,5376,26,2.0,-0.016126,0.007887,17.267402,16.6,323.5
43,5504,27,2.0,-0.019661,0.041677,17.267771,16.7,329.6
44,5632,28,2.0,-0.01226,0.026557,17.283108,16.8,335.7
45,5760,28,2.0,-0.01294,0.008518,17.290866,16.9,340.9
46,5888,29,2.0,-0.01704,0.02605,17.303447,17.0,347.1
47,6016,30,2.0,-0.002946,0.02906,17.287326,17.0,353.0
48,6144,30,2.0,-0.018805,0.006903,17.27725,17.1,358.3
49,6272,31,2.0,-0.059331,0.016125,17.283307,17.2,364.2
50,6400,32,2.0,-0.054271,0.008471,17.294298,17.3,370.7
51,6528,32,2.0,-0.076097,0.006896,17.287838,17.4,375.7
52,6656,33,2.0,0.007998,0.02321,17.28478,17.1,389.3
53,6784,33,2.0,-0.04379,0.007265,17.294094,17.0,398.5
54,6912,34,2.0,-0.062862,0.007386,17.306285,16.8,412.1
55,7040,35,2.0,-0.023204,0.035944,17.306266,16.6,423.5
56,7168,35,2.0,-0.051654,0.01859,17.303403,16.6,432.8
57,7296,36,2.0,-0.041985,0.011495,17.294156,16.6,439.7
58,7424,37,2.0,-0.013516,0.008349,17.287239,16.6,447.9
59,7552,37,2.0,-0.026393,0.01196,17.284557,16.4,459.4
60,7680,38,2.0,-0.052837,0.017002,17.28679,16.4,468.2
61,7808,39,2.0,-0.001076,0.014492,17.295657,16.4,477.5
62,7936,39,2.0,-0.039614,0.008498,17.304919,16.3,487.2
63,8064,40,2.0,-0.035819,0.016833,17.303764,16.1,501.9
64,8192,40,2.0,-0.04471,0.01251,17.300598,16.0,512.2
65,8320,41,2.0,-0.054055,0.01256,17.293711,15.9,522.7
66,8448,42,2.0,-0.015778,0.028684,17.302151,15.8,533.0
67,8576,42,2.0,-0.037989,0.008294,17.306046,15.7,546.0
68,8704,43,2.0,-0.104771,0.011431,17.299731,15.7,553.9
69,8832,44,2.0,-0.007945,0.034729,17.293259,15.6,565.6
70,8960,44,2.0,-0.018783,0.007882,17.292928,15.6,572.7
71,9088,45,2.0,-0.053849,0.020218,17.293377,15.7,580.2
