success,miss,time,range,v_target,m_type,m_intensity,fail_mode,v_final
True,1.18,11.375,4648.406674692028,136.40269344285883,Weaving,3.6597696942053806,Success,219.5483566864981
False,1280.87,14.475,4192.472629335103,108.6937722414161,Virage,2.8915725102967347,Seeker Lost (FOR),148.77333789750304
True,1.1,5.56,2053.057737618534,95.5344616866501,Rectiligne,0.0,Success,287.209003315976
True,0.91,10.415,3073.089388932055,54.364729909730194,Weaving,5.245635610259507,Success,263.6340944832803
False,503.76,20.035,4193.3639826929975,53.70196113455762,Virage,7.218201880173293,Seeker Lost (FOR),86.1000293584168
True,1.39,7.635,2481.377943968047,122.24438275706426,Virage,2.926167312629293,Success,289.5030909801324
True,1.0,14.25,4861.416337583977,114.98366525792726,Weaving,5.437368736673067,Success,151.7875014366225
True,1.82,19.265,3734.2284135034233,53.589909983768656,Virage,7.52557459268178,Success,84.28466117040935
False,912.97,13.79,3860.4486503206713,113.37478287807913,Virage,6.164006976759407,Seeker Lost (FOR),175.53355151971093
True,0.43,2.355,706.9593590474574,87.48410897753149,Virage,5.395568371495621,Success,322.6401728205727
True,1.11,5.77,1264.9264208064383,111.97103685374154,Weaving,2.5724708805140386,Success,292.5393321323264
True,1.81,4.285,1648.9701867161932,140.12094235988832,Rectiligne,0.0,Success,290.2412509441656
True,1.35,5.725,2055.0453099938677,92.43089384608976,Weaving,2.7968679964355694,Success,285.5950532518599
True,0.7,3.87,1567.4256586740858,149.26920436268975,Weaving,4.632919263714722,Success,290.1723283205057
True,0.74,9.33,3586.097717303054,110.64064930764745,Weaving,3.144776605836778,Success,286.56496454003917
True,0.22,9.17,2085.4443012589245,117.77644586233595,Virage,7.030022701775099,Success,286.9063935070265
True,0.83,12.81,4565.316668328355,94.08231901628116,Weaving,2.3605335029848757,Success,181.05223116747143
True,1.05,5.11,1290.3803169993798,147.148958121134,Weaving,5.321890478269589,Success,293.314906202662
True,0.95,7.385,2668.3152344318355,83.87152538018863,Weaving,2.5630280600235307,Success,288.69713464963957
True,0.95,9.185,3758.9752043398316,130.4587644020562,Weaving,2.0556746204036047,Success,288.53585415551976
True,0.33,8.845,3527.7277184318914,132.24173012267744,Rectiligne,0.0,Success,285.69294573443386
False,1379.3,0.0,612.6109234091705,141.52559087431592,Rectiligne,0.0,Seeker Lost (FOR),100.0
True,1.76,14.995,4592.244372925514,63.977701250722106,Rectiligne,0.0,Success,148.1959096599001
True,0.7,3.955,937.3639937981972,95.36437568888925,Weaving,5.783896343117728,Success,285.73335712303606
True,1.13,3.865,1195.3530608442575,98.93470377896145,Weaving,2.1308651474201876,Success,296.66875908680913
True,1.81,13.03,4777.4982643314215,118.56802654812853,Weaving,3.4346953648492717,Success,170.8345542295868
False,272.26,4.835,1049.718735892687,116.2768738061978,Virage,2.1281447284182238,Seeker Lost (FOR),281.88132075769954
True,1.32,6.525,1596.0600372381064,56.86101528243559,Rectiligne,0.0,Success,291.41798189427504
True,0.18,10.73,4413.629420462951,140.05310356317582,Weaving,2.578751921282032,Success,244.32174829398767
True,0.82,4.955,1285.2370440562706,51.486032723070885,Rectiligne,0.0,Success,282.1143359454111
True,0.96,5.855,1284.1079063277973,102.60855265978671,Virage,6.6681022358852164,Success,287.72452562633765
True,1.53,3.32,990.7430450173049,54.33650368991717,Weaving,4.085804858852336,Success,296.0981574028917
False,11.64,3.84,773.7143337252762,118.60974960622328,Weaving,2.293962863065802,Seeker Lost (FOR),299.8433606262517
True,1.05,3.125,795.5700499405126,104.83564340483605,Weaving,4.122227349725298,Success,303.3708845156389
