id,success,miss_distance,flight_time,range_init,target_speed,m_type,m_intensity,failure_mode,v_final
0,False,5.28,58.785,612.5483985020012,123.64712141640123,Weaving,2.2608164978882486,Ground Collision,111.17601577033227
1,True,1.45,6.455,1483.870886616215,69.88376506866484,Virage,2.881762488162787,Success,282.14099188413326
2,True,1.39,10.985,4142.43705505022,119.81393949882269,Rectiligne,0.0,Success,237.01494544504112
3,False,3.81,8.48,2014.6754530068204,134.74943663474596,Weaving,4.189195360081454,Ground Collision,291.2621950986921
4,True,1.83,9.785,2203.4046974375906,111.85197523642461,Virage,4.818287344859694,Success,288.6654538967962
5,True,1.19,4.785,1525.5422404319609,73.27908863610301,Rectiligne,0.0,Success,282.83789434468395
6,True,1.96,8.62,2141.744805365379,76.69778220491133,Virage,4.436524022667953,Success,287.7762687835925
7,False,135.33,54.99,3781.0705907765714,148.95233506365952,Virage,4.738457003959498,Ground Collision,90.29452012121574
8,True,1.99,11.86,3991.9996019581017,81.54530480590819,Rectiligne,0.0,Success,210.0925657815774
9,True,1.97,21.925,4443.65431912701,89.56319010606643,Virage,3.05952066599221,Success,102.40826582904049
10,True,0.41,7.29,3026.1566037341786,139.7822883602477,Rectiligne,0.0,Success,285.0406918870788
11,True,1.46,10.695,2792.86832154409,60.96491303506592,Weaving,3.266479900399052,Success,253.00870595321533
12,True,1.73,12.405,4982.546211080436,136.07797022344982,Weaving,4.045131107079724,Success,187.13660487259716
13,True,1.94,9.545,3384.3280936091364,95.37237063292065,Weaving,2.7901671522532725,Success,285.27694192364817
14,True,1.09,13.07,4606.825277051692,113.89494948660052,Rectiligne,0.0,Success,164.99217907249061
15,True,1.23,8.865,2927.2056355383156,50.05718961279435,Rectiligne,0.0,Success,288.0236778113434
16,True,1.81,14.83,4454.248450204329,55.79251664941876,Weaving,2.256960356203636,Success,148.61165853474637
17,True,1.39,11.58,3922.709743657542,97.52823780987313,Rectiligne,0.0,Success,207.23613447849942
18,True,1.58,7.22,2404.120730903991,122.99310690899762,Rectiligne,0.0,Success,291.02413330661363
19,True,1.61,10.59,3424.4512593775407,62.100419586826575,Rectiligne,0.0,Success,257.37507651016773
20,True,1.91,4.86,1535.5162966845965,113.11029572700988,Weaving,4.5789062007612396,Success,290.91817169474814
21,False,3.21,26.975,3510.400002333263,143.55142405806708,Virage,5.1384776971630135,Ground Collision,103.10830481759368
22,True,1.8,6.04,1356.8446146284496,92.35786230199207,Weaving,4.020093641879905,Success,292.29918134849135
23,True,1.36,9.085,2311.795769460209,74.86563339202857,Virage,3.6875265593376167,Success,284.16042983848416
24,True,1.93,5.785,1624.1290154694523,136.13491047618305,Rectiligne,0.0,Success,280.85399465275697
25,False,469.74,60.0,4262.1241328597835,134.86957344143053,Virage,2.8549891967967267,Kinetic Exhaustion,0.09943211952350438
26,True,1.03,2.565,763.8592998748052,76.52030581721519,Virage,3.6920299439606517,Success,309.6857197760855
27,True,1.94,16.77,4979.402102717212,65.47968252740641,Weaving,3.7375408724487684,Success,129.50002801399944
28,True,1.22,2.255,757.2437280836739,135.27198920482851,Weaving,2.2403343957217605,Success,327.0276170667731
29,False,326.17,60.0,3538.4564912184055,139.02873141294376,Virage,4.477526041328412,Kinetic Exhaustion,0.09407547148929828
